#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,"
South America
","4,250,825","+6,351","147,138",+321,"2,878,795","+4,265","1,224,892","13,101",,,,,,South America,"
",,
,"
Asia
","4,520,716","+70,868","100,678","+1,354","3,356,829","+60,448","1,063,209","19,118",,,,,,Asia,"
",,
,"
Europe
","2,923,074","+15,722","204,039",+224,"1,753,838","+5,383","965,197","5,157",,,,,,Europe,"
",,
,"
Africa
","965,937","+4,549","20,446",+96,"619,898","+4,554","325,593","1,149",,,,,,Africa,"
",,
,"
Oceania
","20,107",+398,246,+13,"12,276",+202,"7,585",43,,,,,,Australia/Oceania,"
",,
,"

",721,,15,,651,,55,4,,,,,,,"
35,Belgium,"69,849",+447,"9,845 ",,"17,590",+17,"42,414",57,"6,024",849,"1,703,059","146,889","11,594,189 ",Europe,166,"1,178",7
36,Kuwait,"68,299",+388,461 ,+4,"59,739",+526,"8,099",126,"15,973",108,"511,599","119,645","4,275,968 ",Asia,63,"9,275",8
37,Belarus,"68,166",+99,571 ,+4,"62,943",+47,"4,652",,"7,214",60,"1,323,814","140,100","9,449,035 ",Europe,139,"16,548",7
38,Panama,"67,453",,"1,471 ",,"41,038",,"24,944",164,"15,612",340,"229,831","53,195","4,320,539 ",North America,64,"2,937",19
39,UAE,"61,163",+164,351 ,,"54,863",+248,"5,949",,"6,178",35,"5,189,891","524,190","9,900,773 ",Asia,162,"28,207",2
40,Netherlands,"55,470",+372,"6,149 ",,N/A,N/A,N/A,27,"3,237",359,"962,965","56,188","17,138,342 ",Europe,309,"2,787",18
41,Romania,"54,009",+823,"2,432 ",+19,"27,750",+158,"23,827",419,"2,809",126,"1,248,318","64,931","19,225,418 ",Europe,356,"7,905",15
42,Singapore,"53,051",+226,27 ,,"47,179",+253,"5,845",1,"9,062",5,"1,321,094","225,657","5,854,430 ",Asia,110,"216,831",4
43,Portugal,"51,569",+106,"1,738 ",,"37,111",+127,"12,720",42,"5,059",170,"1,622,951","159,208","10,193,917 ",Europe,198,"5,865",6
44,Guatemala,"51,542",+236,"2,013 ",+18,"39,346",+930,"10,183",5,"2,872",112,"161,606","9,006","17,943,272 ",North America,348,"8,914",111
45,Poland,"47,469",+575,"1,732 ",+1,"34,881",+172,"10,856",74,"1,254",46,"2,315,210","61,180","37,842,753 ",Europe,797,"21,849",16
46,Nigeria,"43,841",,888 ,,"20,308",,"22,645",7,212,4,"286,091","1,385","206,550,293 ",Africa,"4,711","232,602",722
47,Honduras,"43,197",+512,"1,377 ",+9,"5,794",+100,"36,026",43,"4,355",139,"105,820","10,670","9,917,981 ",North America,230,"7,203",94
48,Bahrain,"41,536",,150 ,+3,"38,666",,"2,720",46,"24,347",88,"842,992","494,128","1,706,019 ",Asia,41,"11,373",2
49,Armenia,"39,102",+52,762 ,+8,"29,861",+111,"8,479",10,"13,193",257,"167,095","56,380","2,963,751 ",Asia,76,"3,889",18
50,Ghana,"37,812",+798,191 ,+9,"34,313",+948,"3,308",8,"1,215",6,"399,446","12,833","31,126,380 ",Africa,823,"162,965",78
51,Kyrgyzstan,"37,129",+410,"1,420 ",+11,"27,927",+653,"7,782",24,"5,683",217,"267,718","40,977","6,533,301 ",Asia,176,"4,601",24
52,Afghanistan,"36,747",+37,"1,288 ",+4,"25,669",+159,"9,790",31,942,33,"89,377","2,292","38,999,842 ",Asia,"1,061","30,279",436
53,Japan,"36,689",,"1,011 ",,"25,906",,"9,772",83,290,8,"836,404","6,615","126,440,072 ",Asia,"3,446","125,064",151
54,Switzerland,"35,616",+66,"1,981 ",,"31,500",,"2,135",25,"4,113",229,"803,725","92,806","8,660,262 ",Europe,243,"4,372",11
55,Azerbaijan,"32,684",+241,468 ,+6,"27,760",+647,"4,456",66,"3,221",46,"744,837","73,403","10,147,245 ",Asia,310,"21,682",14
56,Algeria,"31,972",+507,"1,239 ",+8,"21,901",+482,"8,832",57,728,28,,,"43,917,413 ",Africa,"1,374","35,446",
57,Serbia,"26,451",+258,598 ,+8,"14,047",,"11,806",146,"3,028",68,"686,488","78,599","8,734,048 ",Europe,330,"14,605",13
58,Ireland,"26,208",+46,"1,763 ",,"23,364",,"1,081",4,"5,302",357,"636,085","128,694","4,942,598 ",Europe,189,"2,804",8
59,Morocco,"26,196",+659,401 ,+19,"18,968",+533,"6,827",31,709,11,"1,316,861","35,640","36,948,579 ",Africa,"1,410","92,141",28
60,Uzbekistan,"26,066",+730,157 ,+6,"16,838","+1,005","9,071",185,778,5,"1,377,915","41,119","33,510,724 ",Asia,"1,286","213,444",24
61,Moldova,"25,482",+120,800 ,+9,"17,942",+126,"6,740",362,"6,318",198,"128,076","31,756","4,033,085 ",Europe,158,"5,041",31
62,Kenya,"22,597",+544,382  ,+13,"8,740",+263,"13,475",44,419,7,"318,376","5,910","53,868,186 ",Africa,"2,384","141,016",169
63,Austria,"21,385",+81,718 ,,"19,063",+79,"1,604",21,"2,373",80,"910,437","101,036","9,011,017 ",Europe,421,"12,550",10
64,Nepal,"20,750",+418,57 ,,"14,961",+358,"5,732",,711,2,"711,309","24,376","29,180,751 ",Asia,"1,406","511,943",41
65,Venezuela,"20,206",,174 ,,"11,404",,"8,628",25,711,6,"1,545,895","54,379","28,428,376 ",South America,"1,407","163,381",18
66,Costa Rica,"19,402",+427,171 ,+9,"4,689",+104,"14,542",97,"3,806",34,"92,680","18,179","5,098,222 ",North America,263,"29,814",55
67,Ethiopia,"19,289",+583,336 ,+26,"7,931",+330,"11,022",153,167,3,"444,226","3,856","115,192,520 ",Africa,"5,972","342,835",259
68,Australia,"18,318",+395,221 ,+13,"10,622",+202,"7,475",43,718,9,"4,425,326","173,368","25,525,632 ",Australia/Oceania,"1,393","115,501",6
69,El Salvador,"17,843",+395,477 ,+10,"8,809",+175,"8,557",496,"2,750",74,"246,302","37,956","6,489,157 ",North America,364,"13,604",26
70,Cameroon,"17,255",,391 ,,"15,320",,"1,544",30,649,15,"149,000","5,602","26,598,944 ",Africa,"1,542","68,028",179
71,Czechia,"16,880",+80,386 ,+2,"11,706",+101,"4,788",19,"1,576",36,"706,461","65,958","10,710,803 ",Europe,635,"27,748",15
72,Ivory Coast,"16,220",+38,102 ,,"11,887",+86,"4,231",,614,4,"103,112","3,901","26,430,789 ",Africa,"1,630","259,125",256
73,S. Korea,"14,389",+23,301 ,,"13,280",+21,808,13,281,6,"1,579,757","30,811","51,273,252 ",Asia,"3,563","170,343",32
74,Denmark,"13,996",+207,616 ,+1,"12,682",+104,698,2,"2,416",106,"1,587,403","273,971","5,794,056 ",Europe,414,"9,406",4
75,Palestine,"12,541",+244,84 ,,"5,390",,"7,067",,"2,454",16,"200,280","39,186","5,111,041 ",Asia,408,"60,846",26
76,Bosnia and Herzegovina,"12,462",+166,362 ,+10,"6,359",+47,"5,741",,"3,801",110,"142,404","43,431","3,278,872 ",Europe,263,"9,058",23
77,Bulgaria,"11,955",,388 ,,"6,420",,"5,147",46,"1,722",56,"272,491","39,244","6,943,423 ",Europe,581,"17,895",25
78,Sudan,"11,738",,752 ,,"6,137",,"4,849",,267,17,401,9,"43,932,317 ",Africa,"3,743","58,421","109,557"
79,Madagascar,"11,660",+132,118 ,+4,"8,825",+381,"2,717",84,420,4,"44,033","1,587","27,747,902 ",Africa,"2,380","235,152",630
80,North Macedonia,"11,128",+74,500 ,+3,"6,972",+90,"3,656",5,"5,341",240,"106,047","50,902","2,083,366 ",Europe,187,"4,167",20
81,Senegal,"10,386",+42,211 ,+2,"6,901",+63,"3,274",37,619,13,"110,525","6,587","16,779,038 ",Africa,"1,616","79,522",152
82,Norway,"9,312",+44,256 ,+1,"8,752",,304,1,"1,716",47,"455,059","83,882","5,425,008 ",Europe,583,"21,191",12
83,DRC,"9,133",+18,215  ,,"7,424",+105,"1,494",,102,2,,,"89,772,291 ",Africa,"9,829","417,546",
84,Malaysia,"9,001",+2,125 ,,"8,668",+4,208,1,278,4,"983,297","30,347","32,401,840 ",Asia,"3,600","259,215",33
85,French Guiana,"7,948",+91,44 ,+1,"6,767",+236,"1,137",25,"26,555",147,"39,369","131,537","299,300 ",South America,38,"6,802",8
86,Gabon,"7,646",+115,51 ,+1,"5,408",+185,"2,187",11,"3,429",23,"79,255","35,541","2,229,988 ",Africa,292,"43,725",28
